beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,namenszusatz,titel,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
MdB / Verleger,WAHLKREIS,281,1962,m,2,Bieberstein,Marschall von,0,Matern,J,E,Freiburg,8.0,,CDU/CSU
MdB / Rechtsanwalt,WAHLKREIS,265,1979,m,2,Bilger,0,0,Steffen,J,E,Ludwigsburg,8.0,,CDU/CSU
MdB / Dipl.-Mathematiker,LAND,8,1950,m,1,Binding,0,0,Lothar,J,Z,0,8.0,,SPD
Dipl.-Sozialwissenschaftler,LAND,5,1961,m,34,Birkwald,0,0,Matthias W.,J,Z,0,5.0,,Die Linke
Student,LAND,7,1988,m,35,Bleck,0,0,Andreas,N,Z,0,7.0,,AfD
MdB / Landwirtschaftsmeister,WAHLKREIS,200,1952,m,2,Bleser,0,0,Peter,J,E,Mosel/Rhein-Hunsrück,7.0,,CDU/CSU
MdB,LAND,13,1958,w,34,Bluhm,0,0,Heidrun,J,Z,0,13.0,,Die Linke
Kaufmann / Wirtschaftspublizist,LAND,9,1969,m,35,Boehringer,0,0,Peter Christian Pascal,N,Z,0,9.0,,AfD
Jurist,WAHLKREIS,10,1954,m,2,Brackmann,0,0,Norbert,J,E,Herzogtum Lauenburg – Stormarn-Süd,1.0,,CDU/CSU
MdB,WAHLKREIS,174,1973,m,2,Brand,0,0,Michael,J,E,Fulda,6.0,,CDU/CSU
Unternehmensberater,LAND,8,1986,m,4,Brandenburg,0,Dr.,Jens,N,Z,0,8.0,,FDP
Wirtschaftsinformatiker,LAND,7,1983,m,4,Brandenburg,0,0,Mario,N,Z,0,7.0,,FDP
MdB / Dipl.-Wirtschaftsingenieur,WAHLKREIS,216,1977,m,3,Brandl,0,Dr.,Reinhard,J,E,Ingolstadt,9.0,,CDU/CSU
Rechtsanwalt,LAND,16,1966,m,35,Brandner,0,0,Stephan,N,Z,0,16.0,,AfD
Schauspieler,LAND,8,1990,m,34,Brandt,0,0,Michel,N,Z,0,8.0,,Die Linke
MdB,LAND,8,1979,w,5,Brantner,0,Dr.,Franziska,J,Z,0,8.0,,Grüne
