beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,namenszusatz,titel,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
MdB / Dipl.-Ing. Architektur,WAHLKREIS,198,1961,w,2,Heil,0,0,Mechthild,J,E,Ahrweiler,7.0,,CDU/CSU
Volljurist,WAHLKREIS,79,1964,m,2,Heilmann,0,0,Thomas,N,E,Berlin-Steglitz-Zehlendorf,11.0,,CDU/CSU
Theologe,WAHLKREIS,162,1964,m,2,Heinrich,0,0,Frank,J,E,Chemnitz,14.0,,CDU/CSU
MdB / Redakteurin,LAND,9,1963,w,1,Heinrich,0,0,Gabriela,J,Z,0,9.0,,SPD
MdB / Volljurist,LAND,7,1977,m,1,Held,0,0,Marcus,J,Z,0,7.0,,SPD
MdB / Betriebswirt,WAHLKREIS,3,1978,m,2,Helfrich,0,0,Mark,J,E,Steinburg – Dithmarschen Süd,1.0,,CDU/CSU
Rechtsanwältin,LAND,5,1986,w,4,Helling-Plahr,0,0,Katrin,N,Z,0,5.0,,FDP
MdB,LAND,5,1958,m,1,Hellmich,0,0,Wolfgang,J,Z,0,5.0,,SPD
selbst. Kaufmann,LAND,5,1959,m,35,Hemmelgarn,0,0,Udo Theodor,N,Z,0,5.0,,AfD
Bundesministerin,LAND,5,1952,w,1,Hendricks,0,Dr.,Barbara,J,Z,0,5.0,,SPD
MdB / Arzt,WAHLKREIS,87,1954,m,2,Henke,0,0,Rudolf,J,E,Aachen I,5.0,,CDU/CSU
MdB,WAHLKREIS,262,1965,m,2,Hennrich,0,0,Michael,J,E,Nürtingen,8.0,,CDU/CSU
Rechtsanwalt,WAHLKREIS,127,1976,m,2,Henrichmann,0,0,Marc,N,E,Coesfeld – Steinfurt II,5.0,,CDU/CSU
Steuerberater,LAND,5,1971,m,4,Herbrand,0,0,Markus,N,Z,0,5.0,,FDP
Dipl.-Kaufmann (FH),LAND,14,1973,m,4,Herbst,0,0,Torsten,N,Z,0,14.0,,FDP
Unternehmer,LAND,3,1962,m,35,Herdt,0,0,Waldemar,N,Z,0,3.0,,AfD
Polizeibeamter,LAND,14,1977,m,35,Herrmann,0,0,Klaus Lars,N,Z,0,14.0,,AfD
MdB / Chemielaborant,WAHLKREIS,209,1958,m,1,Herzog,0,0,Gustav,J,E,Kaiserslautern,7.0,,SPD
Polizeibeamter,LAND,8,1971,m,35,Hess,0,0,Martin Alexander,N,Z,0,8.0,,AfD
Rechtsanwältin,LAND,9,1972,w,4,Hessel,0,0,Katja,N,Z,0,9.0,,FDP
Physiker,LAND,14,1956,m,35,Heßenkemper,0,Prof. Dr.,Heiko,N,Z,0,14.0,,AfD
MdB / Oberregierungsrat a. D.,WAHLKREIS,110,1972,m,2,Heveling,0,0,Ansgar,J,E,Krefeld I – Neuss II,5.0,,CDU/CSU
MdB,LAND,1,1953,w,1,Hiller-Ohm,0,0,Gabriele,J,Z,0,1.0,,SPD
Beamter,WAHLKREIS,156,1964,m,35,Hilse,0,0,Karsten,N,E,Bautzen I,14.0,,AfD
Rechtsanwalt / Fachanwalt für Steuerrecht,WAHLKREIS,190,1976,m,2,Hirte,0,0,Christian,J,E,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,16.0,,CDU/CSU
Universitätsprofessor,WAHLKREIS,94,1958,m,2,Hirte,0,Prof. Dr.,Heribert,J,E,Köln II,5.0,,CDU/CSU
MdB,LAND,7,1982,m,1,Hitschler,0,0,Thomas,J,Z,0,7.0,,SPD
Regierungsschuldirektorin,LAND,7,1970,w,35,Höchst,0,0,Nicole,N,Z,0,7.0,,AfD
MdL / Dipl.-Ökonom,LAND,3,1975,m,4,Hocker,0,Dr.,Gero Clemens,N,Z,0,3.0,,FDP
selbst. Unternehmer,LAND,7,1973,m,4,Höferlin,0,0,Manuel,N,Z,0,7.0,,FDP
MdB / Oberrechtsrat,WAHLKREIS,249,1975,m,3,Hoffmann,0,0,Alexander,J,E,Main-Spessart,9.0,,CDU/CSU
Dipl.-Biologin,LAND,6,1960,w,5,Hoffmann,0,Dr.,Bettina,N,Z,0,6.0,,Grüne
Bürgermeister,LAND,8,1957,m,4,Hoffmann,0,Dr.,Christoph,N,Z,0,8.0,,FDP
MdB / Dipl.-Biologe,LAND,9,1970,m,5,Hofreiter,0,Dr.,Anton,J,Z,0,9.0,,Grüne
MdB / Juristin,WAHLKREIS,75,1969,w,1,Högl,0,Dr.,Eva,J,E,Berlin-Mitte,11.0,,SPD
Bürgermeister a. D.,LAND,6,1948,m,35,Hohmann,0,0,Martin,N,Z,0,6.0,,AfD
MdL,LAND,15,1975,m,34,Höhn,0,0,Matthias,N,Z,0,15.0,,Die Linke
Wirtschaftswissenschaftler,LAND,1,1948,m,35,Hollnagel,0,Dr.,Bruno,N,Z,0,1.0,,AfD
Ökonom (M. Sc.) / Journalist,LAND,13,1970,m,35,Holm,0,0,Leif-Erik,N,Z,0,13.0,,AfD
MdB,WAHLKREIS,234,1956,m,3,Holmeier,0,0,Karl,J,E,Schwandorf,9.0,,CDU/CSU
MdL / Dipl.-Ökonom,LAND,3,1961,m,5,Holtz,von,0,Ottmar,N,Z,0,3.0,,Grüne
MdB / Bürgermeister a. D.,WAHLKREIS,43,1972,m,2,Hoppenstedt,0,Dr.,Hendrik,J,E,Hannover-Land I,3.0,,CDU/CSU
Unternehmer,LAND,5,1960,m,4,Houben,0,0,Reinhard,N,Z,0,5.0,,FDP
Finanzbuchhalter,LAND,9,1987,m,35,Huber,0,0,Johannes,N,Z,0,9.0,,AfD
Mediengestalter,LAND,5,1963,m,34,Hunko,0,0,Andrej,J,Z,0,5.0,,Die Linke
Staatssekretärin a. D. / Juristin,LAND,3,1956,w,4,Ihnen,0,0,Ulla,N,Z,0,3.0,,FDP
MdB,WAHLKREIS,214,1970,m,3,Irlstorfer,0,0,Erich,J,E,Freising,9.0,,CDU/CSU
Oberstudienrat,WAHLKREIS,172,1952,m,2,Irmer,0,0,Hans-Jürgen,N,E,Lahn-Dill,6.0,,CDU/CSU
Rechtsanwalt,LAND,5,1973,m,35,Jacobi,0,0,Fabian,N,Z,0,5.0,,AfD
MdB / Dipl.-Politologe,LAND,9,1976,m,5,Janecek,0,0,Dieter,J,Z,0,9.0,,Grüne
MdB / IT-Berater,WAHLKREIS,106,1973,m,2,Jarzombek,0,0,Thomas,J,E,Düsseldorf I,5.0,,CDU/CSU
Journalistin,LAND,5,1951,w,34,Jelpke,0,0,Ursula (Ulla),J,Z,0,5.0,,Die Linke
akadem. Mitarbeiter,LAND,8,1968,m,35,Jongen,0,Dr.,Marc Stephan,N,Z,0,8.0,,AfD
MdB,WAHLKREIS,287,1975,m,2,Jung,0,0,Andreas,J,E,Konstanz,8.0,,CDU/CSU
Studiendirektor,LAND,8,1977,m,4,Jung,0,Dr.,Christian,N,Z,0,8.0,,FDP
Staatssekretär,WAHLKREIS,179,1978,m,2,Jung,0,0,Ingmar Ludwig,N,E,Wiesbaden,6.0,,CDU/CSU
Dipl.-Sportlehrer,LAND,13,1967,m,1,Junge,0,0,Frank Michael,J,Z,0,13.0,,SPD
MdB / Kfz.-Mechaniker,LAND,8,1959,m,1,Juratovic,0,0,Josip,J,Z,0,8.0,,SPD
MdB / Funkmechaniker,LAND,14,1962,m,1,Jurk,0,0,Thomas Edmund,J,Z,0,14.0,,SPD
Oberregierungsrat,WAHLKREIS,144,1970,m,1,Kaczmarek,0,0,Oliver,J,E,Unna I,5.0,,SPD
Angestellter,WAHLKREIS,18,1963,m,1,Kahrs,0,0,Johannes,J,E,Hamburg-Mitte,2.0,,SPD
Pressesprecherin,LAND,16,1987,w,1,Kaiser,0,0,Elisabeth,N,Z,0,16.0,,SPD
Elektroniker / Kaufmann,LAND,5,1958,m,35,Kamann,0,0,Uwe,N,Z,0,5.0,,AfD
Ärztin,LAND,4,1966,w,5,Kappert-Gonther,0,Dr.,Kirsten,N,Z,0,4.0,,Grüne
Journalist,WAHLKREIS,139,1954,m,1,Kapschack,0,0,Ralf,J,E,Ennepe-Ruhr-Kreis II,5.0,,SPD
MdB,WAHLKREIS,232,1950,m,3,Karl,0,0,Alois,J,E,Amberg,9.0,,CDU/CSU
MdB / Geschäftsführerin Hotellerie,WAHLKREIS,128,1971,w,2,Karliczek,0,0,Anja,J,E,Steinfurt III,5.0,,CDU/CSU
Rechtsanwalt,WAHLKREIS,207,1979,m,2,Kartes,0,0,Jens Torbjörn,N,E,Ludwigshafen/Frankenthal,7.0,,CDU/CSU
Dipl.-Ökonomin,LAND,13,1958,w,34,Kassner,0,0,Karin Kerstin,J,Z,0,13.0,,Die Linke
MdB,LAND,8,1960,w,1,Katzmarek,0,0,Gabriele,J,Z,0,8.0,,SPD
MdB / Jurist,WAHLKREIS,285,1949,m,2,Kauder,0,0,Volker,J,E,Rottweil – Tuttlingen,8.0,,CDU/CSU
MdB / Rechtsanwalt,WAHLKREIS,258,1969,m,2,Kaufmann,0,Dr.,Stefan,J,E,Stuttgart I,8.0,,CDU/CSU
MdB / Dipl.-Volkswirt,LAND,9,1953,m,5,Kekeritz,0,0,Uwe,J,Z,0,9.0,,Grüne
MdB / Dipl.-Informatiker,WAHLKREIS,96,1968,m,1,Kelber,0,0,Ulrich,J,E,Bonn,5.0,,SPD
MdB,WAHLKREIS,291,1989,w,2,Kemmer,0,0,Ronja,J,E,Ulm,8.0,,CDU/CSU
Unternehmer,LAND,16,1965,m,4,Kemmerich,0,0,Thomas L.,N,Z,0,16.0,,FDP
Angestellter,LAND,6,1964,m,34,Kessler,0,Dr.,Achim Dieter,N,Z,0,6.0,,Die Linke
Bestatter,LAND,3,1971,m,35,Kestner,0,0,Jens,N,Z,0,3.0,,AfD
MdB / Rechtsanwältin,LAND,3,1969,w,5,Keul,0,0,Katja,J,Z,0,3.0,,Grüne
Bankkaufmann,LAND,5,1972,m,35,Keuter,0,0,Stefan,N,Z,0,5.0,,AfD
MdB,WAHLKREIS,270,1963,m,2,Kiesewetter,0,0,Roderich,J,E,Aalen – Heidenheim,8.0,,CDU/CSU
Erster Bürgermeister,WAHLKREIS,224,1973,m,3,Kießling,0,0,Michael Hannes,N,E,Starnberg – Landsberg am Lech,9.0,,CDU/CSU
MdB / Betriebswirt,LAND,3,1985,m,5,Kindler,0,0,Sven-Christian,J,Z,0,3.0,,Grüne
MdB / Rechtsanwalt,WAHLKREIS,91,1959,m,2,Kippels,0,Dr.,Georg,J,E,Rhein-Erft-Kreis I,5.0,,CDU/CSU
MdB / Literaturwissenschaftlerin,LAND,14,1978,w,34,Kipping,0,0,Katja,J,Z,0,14.0,,Die Linke
MdB / Dipl.-Volkswirtin,LAND,11,1975,w,1,Kiziltepe,0,0,Cansel,J,Z,0,11.0,,SPD
Lehrer,WAHLKREIS,118,1952,m,1,Klare,0,0,Arno,J,E,Mülheim – Essen I,5.0,,SPD
Dipl.-Kaufmann,LAND,9,1977,m,4,Klein,0,0,Karsten,N,Z,0,9.0,,FDP
MdB / Dipl.-Volkswirt,WAHLKREIS,148,1960,m,2,Klein,0,0,Volkmar,J,E,Siegen-Wittgenstein,5.0,,CDU/CSU
Soziologin,LAND,5,1958,w,5,Klein-Schmeink,0,0,Maria,J,Z,0,5.0,,Grüne
Lehrer,LAND,12,1986,m,35,Kleinwächter,0,0,Norbert,N,Z,0,12.0,,AfD
MdB,WAHLKREIS,35,1978,m,1,Klingbeil,0,0,Lars,J,E,Rotenburg I – Heidekreis,3.0,,SPD
Geschäftsführer Landtagsfraktion,LAND,8,1980,m,4,Klinge,0,Dr.,Marcel,N,Z,0,8.0,,FDP
Rechtsreferendarin,LAND,5,1987,w,4,Kloke,0,0,Katharina,N,Z,0,5.0,,FDP
Dipl.-Volkswirtin / Ministerialreferentin,LAND,11,1980,w,4,Kluckert,0,0,Daniela,N,Z,0,11.0,,FDP
MdB,WAHLKREIS,33,1967,m,2,Knoerig,0,0,Axel,J,E,Diepholz – Nienburg I,3.0,,CDU/CSU
Militärseelsorger,LAND,8,1971,m,4,Kober,0,0,Pascal,N,Z,0,8.0,,FDP
MdB,WAHLKREIS,57,1962,m,2,Koeppen,0,0,Jens,J,E,Uckermark – Barnim I,12.0,,CDU/CSU
MdB,LAND,9,1967,w,1,Kofler,0,Dr.,Bärbel,J,Z,0,9.0,,SPD
wiss. Mitarbeiter,LAND,9,1986,m,4,Köhler,0,Dr.,Lukas,N,Z,0,9.0,,FDP
MdB / Dipl.-Physikerin,LAND,14,1980,w,1,Kolbe,0,0,Daniela,J,Z,0,14.0,,SPD
Rechtsanwalt,LAND,13,1968,m,35,Komning,0,0,Enrico,N,Z,0,13.0,,AfD
Dipl.-Ingenieur (MBA),LAND,3,1967,m,35,König,0,0,Jörn,N,Z,0,3.0,,AfD
Dipl.-Agraringenieurin (FH),LAND,7,1982,w,4,Konrad,0,0,Carina,N,Z,0,7.0,,FDP
MdB,WAHLKREIS,176,1977,m,2,Koob,0,0,Markus Benjamin,J,E,Hochtaunus,6.0,,CDU/CSU
MdB / Betriebswirt,WAHLKREIS,165,1979,m,2,Körber,0,0,Carsten,J,E,Zwickau,14.0,,CDU/CSU
Dipl.-Verwaltungswirtin,LAND,5,1985,w,1,Korkmaz,0,0,Elvan,N,Z,0,5.0,,SPD
MdB / Politikwissenschaftler (M. A.),LAND,15,1977,m,34,Korte,0,0,Jan,J,Z,0,15.0,,Die Linke
Referent / Unternehmensberater,LAND,12,1971,m,35,Kotré,0,0,Steffen,N,Z,0,12.0,,AfD
MdB,LAND,8,1952,w,5,Kotting-Uhl,0,0,Sylvia,J,Z,0,8.0,,Grüne
Dipl.-Chemiker,LAND,9,1974,m,35,Kraft,0,Dr.,Rainer,N,Z,0,9.0,,AfD
MdB / parl. Staatssekretärin,LAND,9,1967,w,1,Kramme,0,0,Anette,J,Z,0,9.0,,SPD
MdL / Politikwissenschaftler,WAHLKREIS,164,1975,m,2,Krauß,0,0,Alexander Gerd,N,E,Erzgebirgskreis I,14.0,,CDU/CSU
Gewerkschaftssekretärin,LAND,3,1956,w,34,Krellmann,0,0,Jutta,J,Z,0,3.0,,Die Linke
MdB,WAHLKREIS,279,1964,m,2,Krichbaum,0,0,Gunther,J,E,Pforzheim,8.0,,CDU/CSU
MdB / Jurist,WAHLKREIS,109,1969,m,2,Krings,0,Dr.,Günter,J,E,Mönchengladbach,5.0,,CDU/CSU
MdB,LAND,5,1969,m,5,Krischer,0,0,Oliver Michael,J,Z,0,5.0,,Grüne
Geschäftsführer,LAND,2,1961,m,2,Kruse,0,0,Rüdiger,J,Z,0,2.0,,CDU/CSU
Rechtsanwalt / Dipl.-Volkswirt,LAND,1,1952,m,4,Kubicki,0,0,Wolfgang,N,Z,0,1.0,,FDP
Rechtsanwalt,WAHLKREIS,219,1972,m,3,Kuffer,0,0,Michael,N,E,München-Süd,9.0,,CDU/CSU
Rechtsanwalt,LAND,3,1989,m,4,Kuhle,0,0,Konstantin Elias,N,Z,0,3.0,,FDP
MdB,LAND,8,1979,m,5,Kühn,0,0,Christian,J,Z,0,8.0,,Grüne
MdB / Dipl.-Soziologe,LAND,14,1979,m,5,Kühn,0,0,Stephan,J,Z,0,14.0,,Grüne
MdB / Dipl.-Sporttherapeut / Physiotherapeut,WAHLKREIS,52,1967,m,2,Kühne,0,Dr.,Roy,J,E,Goslar – Northeim – Osterode,3.0,,CDU/CSU
Unternehmer,LAND,8,1981,m,4,Kulitz,0,0,Alexander,N,Z,0,8.0,,FDP
Rechtsanwältin,LAND,11,1955,w,5,Künast,0,0,Renate,J,Z,0,11.0,,Grüne
Dipl.-Politikwissenschaftler,LAND,5,1966,m,5,Kurth,0,0,Markus,J,Z,0,5.0,,Grüne
Rechtsanwältin,LAND,6,1965,w,1,Lambrecht,0,0,Christine,J,Z,0,6.0,,SPD
Diplomat,LAND,5,1966,m,4,Lambsdorff,Graf,0,Alexander,N,Z,0,5.0,,FDP
MdB / Rechtsanwalt,WAHLKREIS,274,1951,m,2,Lamers,0,Prof. h. c. Dr.,Karl,J,E,Heidelberg,8.0,,CDU/CSU
MdB,WAHLKREIS,159,1959,m,2,Lämmel,0,0,Gottfried Andreas,J,E,Dresden I,14.0,,CDU/CSU
MdB,WAHLKREIS,154,1954,w,2,Landgraf,0,0,Katharina,J,E,Leipzig-Land,14.0,,CDU/CSU
MdB / parl. Staatssekretär,LAND,8,1964,m,1,Lange,0,0,Christian,J,Z,0,8.0,,SPD
MdB,WAHLKREIS,254,1969,m,3,Lange,0,0,Ulrich,J,E,Donau-Ries,9.0,,CDU/CSU
MdB,WAHLKREIS,237,1976,w,3,Launert,0,Dr.,Silke,J,E,Bayreuth,9.0,,CDU/CSU
MdB,WAHLKREIS,101,1963,m,1,Lauterbach,0,Prof. Dr.,Karl,J,E,Leverkusen – Köln IV,5.0,,SPD
Soziologin,LAND,14,1972,w,34,Lay,0,0,Caren Nicole,J,Z,0,14.0,,Die Linke
MdB,LAND,14,1967,w,5,Lazar,0,0,Monika,J,Z,0,14.0,,Grüne
Betriebswirt (VWA),LAND,9,1977,m,4,Lechte,0,0,Ulrich,N,Z,0,9.0,,FDP
Erzieher,WAHLKREIS,152,1967,m,2,Lehmann,0,0,Jens,N,E,Leipzig I,14.0,,CDU/CSU
Politikwissenschaftler / Personalentwickler ö. D.,LAND,5,1979,m,5,Lehmann,0,0,Sven,N,Z,0,5.0,,Grüne
MdB / Rechtsanwalt,WAHLKREIS,251,1959,m,3,Lehrieder,0,0,Paul,J,E,Würzburg,9.0,,CDU/CSU
MdB,LAND,6,1961,w,34,Leidig,0,0,Sabine,J,Z,0,6.0,,Die Linke
MdB,WAHLKREIS,180,1975,w,2,Leikert,0,Dr.,Katja,J,E,Hanau,6.0,,CDU/CSU
MdB,LAND,15,1968,w,5,Lemke,0,0,Steffi,J,Z,0,15.0,,Grüne
MdB / Werkzeugmacher / Maschinenbautechniker,LAND,16,1967,m,34,Lenkert,0,0,Ralph,J,Z,0,16.0,,Die Linke
MdB,WAHLKREIS,213,1981,m,3,Lenz,0,Dr.,Andreas,J,E,Erding – Ebersberg,9.0,,CDU/CSU
Dipl.-Soziologe,LAND,14,1974,m,34,Leutert,0,0,Michael Gerhard,J,Z,0,14.0,,Die Linke
MdB / Bundesministerin / Ärztin,LAND,3,1958,w,2,Leyen,von der,Dr.,Ursula,J,Z,0,3.0,,CDU/CSU
MdB,WAHLKREIS,201,1960,w,2,Lezius,0,0,Antje,J,E,Kreuznach,7.0,,CDU/CSU
MdB / Dipl.-Betriebswirt,WAHLKREIS,76,1972,m,34,Liebich,0,0,Stefan,J,E,Berlin-Pankow,11.0,,Die Linke
wiss. Mitarbeiter,WAHLKREIS,102,1976,m,1,Lindh,0,0,Helge,N,E,Wuppertal I,5.0,,SPD
MdB / Rechtsanwältin,WAHLKREIS,247,1970,w,3,Lindholz,0,0,Andrea,J,E,Aschaffenburg,9.0,,CDU/CSU
MdL,LAND,5,1979,m,4,Lindner,0,0,Christian,N,Z,0,5.0,,FDP
MdB,LAND,7,1982,m,5,Lindner,0,Dr.,Tobias,J,Z,0,7.0,,Grüne
Staatsminister a. D.,LAND,8,1963,m,4,Link,0,0,Michael Georg,N,Z,0,8.0,,FDP
MdB / Dipl.-Volkswirt,WAHLKREIS,137,1977,m,2,Linnemann,0,Dr.,Carsten,J,E,Paderborn – Gütersloh III,5.0,,CDU/CSU
Handelsfachwirtin,WAHLKREIS,187,1963,w,2,Lips,0,0,Patricia,J,E,Odenwald,6.0,,CDU/CSU
MdB / Jurist,LAND,15,1965,m,1,Lischka,0,0,Burkhard Karl Erich,J,Z,0,15.0,,SPD
Geschäftsführer,WAHLKREIS,275,1986,m,2,Löbel,0,0,Nikolas,N,E,Mannheim,8.0,,CDU/CSU
mittelständ. Unternehmer,WAHLKREIS,217,1955,m,3,Loos,0,0,Bernhard,N,E,München-Nord,9.0,,CDU/CSU
MdB / Philologin,WAHLKREIS,86,1961,w,34,Lötzsch,0,Dr.,Gesine,J,E,Berlin-Lichtenberg,11.0,,Die Linke
Geschäftsführer,LAND,5,1951,m,35,Lucassen,0,0,Hans-Rüdiger,N,Z,0,5.0,,AfD
Rechtsanwalt,WAHLKREIS,81,1975,m,2,Luczak,0,Dr.,Jan-Marco,J,E,Berlin-Tempelhof-Schöneberg,11.0,,CDU/CSU
MdB,WAHLKREIS,222,1975,w,3,Ludwig,0,0,Daniela,J,E,Rosenheim,9.0,,CDU/CSU
MdB / Polizistin,LAND,3,1964,w,1,Lühmann,0,0,Kirsten,J,Z,0,3.0,,SPD
Unternehmensberater,LAND,10,1979,m,4,Luksic,0,0,Oliver,N,Z,0,10.0,,FDP
MdB / Maschinenbauer,LAND,10,1969,m,34,Lutze,0,0,Thomas,J,Z,0,10.0,,Die Linke
MdB,WAHLKREIS,259,1962,w,2,Maag,0,0,Karin,J,E,Stuttgart II,8.0,,CDU/CSU
Jurist,LAND,10,1966,m,1,Maas,0,0,Heiko Josef,N,Z,0,10.0,,SPD
Kaufmann,LAND,4,1952,m,35,Magnitz,0,0,Frank Rüdiger Heinrich,N,Z,0,4.0,,AfD
MdB,WAHLKREIS,166,1979,w,2,Magwas,0,0,Yvonne,J,E,Vogtlandkreis,14.0,,CDU/CSU
Richter,LAND,14,1962,m,35,Maier,0,0,Jens,N,Z,0,14.0,,AfD
Hochschullehrer,LAND,8,1944,m,35,Maier,0,Prof. Dr.,Lothar,N,Z,0,8.0,,AfD
MdB / Bundesminister,WAHLKREIS,155,1954,m,2,Maizière,de,Dr.,Thomas,J,E,Meißen,14.0,,CDU/CSU
Richterin,LAND,11,1964,w,35,Malsack-Winkemann,0,Dr.,Birgit,N,Z,0,11.0,,AfD
Bürgermeisterin,WAHLKREIS,186,1967,w,2,Mannes,0,Dr.,Astrid,N,E,Darmstadt,6.0,,CDU/CSU
Dipl.-Physiker,LAND,6,1968,m,4,Mansmann,0,0,Till Berthold,N,Z,0,6.0,,FDP
MdB / Dipl.-Geografin,LAND,3,1963,w,1,Marks,0,0,Caren,J,Z,0,3.0,,SPD
Rechtsanwalt / Staatsminister a. D.,LAND,14,1959,m,4,Martens,0,Dr.,Jürgen Andreas Michael,N,Z,0,14.0,,FDP
MdB / Landwirt,WAHLKREIS,59,1961,m,2,Marwitz,von der,0,Hans-Georg,J,E,Märkisch-Oderland – Barnim II,12.0,,CDU/CSU
MdEP / Dipl.-Volkswirt,LAND,2,1980,m,34,Masi,De,0,Fabio Valeriano Lanfranco,N,Z,0,2.0,,Die Linke
MdB,LAND,8,1971,w,1,Mast,0,0,Katja,J,Z,0,8.0,,SPD
Theologe,LAND,16,1961,m,1,Matschie,0,0,Christoph,N,Z,0,16.0,,SPD
MdB / Industriekaufmann,WAHLKREIS,34,1969,m,2,Mattfeldt,0,0,Andreas,J,E,Osterholz – Verden,3.0,,CDU/CSU
MdB,LAND,8,1954,w,1,Mattheis,0,0,Hildegard,J,Z,0,8.0,,SPD
MdB / Rechtsanwalt,WAHLKREIS,212,1973,m,3,Mayer,0,0,Stephan,J,E,Altötting,9.0,,CDU/CSU
Dipl.-Politikwissenschaftler,LAND,11,1975,m,34,Meiser,0,0,Pascal,N,Z,0,11.0,,Die Linke
Dipl.-Mathematiker,WAHLKREIS,188,1961,m,2,Meister,0,Dr.,Michael Günther,J,E,Bergstraße,6.0,,CDU/CSU
MdB,WAHLKREIS,15,1954,w,2,Merkel,0,Dr.,Angela Dorothea,J,E,Vorpommern-Rügen – Vorpommern-Greifswald I,13.0,,CDU/CSU
Winzer / Dipl.-Betriebswirt (FH),WAHLKREIS,206,1981,m,2,Metzler,0,0,Jan,J,E,Worms,7.0,,CDU/CSU
Rechtsanwalt / ltd. Angestellter,LAND,11,1975,m,4,Meyer,0,0,Christoph,N,Z,0,11.0,,FDP
Angestellte,LAND,9,1983,w,35,Miazga,0,0,Corinna,N,Z,0,9.0,,AfD
MdB,WAHLKREIS,238,1949,m,3,Michelbach,0,Dr. h. c.,Hans Georg,J,E,Coburg,9.0,,CDU/CSU
MdB / Rechtsanwalt,WAHLKREIS,39,1964,m,2,Middelberg,0,Dr.,Mathias,J,E,Stadt Osnabrück,3.0,,CDU/CSU
MdB / Rechtsanwalt,WAHLKREIS,47,1968,m,1,Miersch,0,Dr.,Matthias,J,E,Hannover-Land II,3.0,,SPD
Dipl.-Ing. Mechatronik (B. A.),LAND,5,1975,m,35,Mieruch,0,0,Mario,N,Z,0,5.0,,AfD
Polizeibeamtin a. D.,LAND,5,1976,w,5,Mihalic,0,0,Irene,J,Z,0,5.0,,Grüne
MdB / Dipl.-Biologe,LAND,11,1964,m,1,Mindrup,0,0,Klaus,J,Z,0,11.0,,SPD
Polizeibeamtin,LAND,3,1958,w,1,Mittag,0,0,Susanne,J,Z,0,3.0,,SPD
Rechtsanwältin,LAND,3,1980,w,34,Mohamed Ali,0,0,Amira,N,Z,0,3.0,,Die Linke
Dipl.-Sozialökonomin,LAND,1,1960,w,34,Möhring,0,0,Cornelia,J,Z,0,1.0,,Die Linke
Dipl.-Kaufmann (FH) / Speditionskaufmann,WAHLKREIS,51,1984,m,1,Mohrs,0,0,Falko,N,E,Helmstedt – Wolfsburg,3.0,,SPD
Altenpflegerin,WAHLKREIS,88,1968,w,1,Moll,0,0,Claudia,N,E,Aachen II,5.0,,SPD
Lehrerin (StRin),WAHLKREIS,26,1983,w,1,Möller,0,0,Siemtje,N,E,Friesland – Wilhelmshaven – Wittmund,3.0,,SPD
MdB / Rechtsanwalt,WAHLKREIS,12,1957,m,2,Monstadt,0,0,Dietrich,J,E,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,13.0,,CDU/CSU
MdB,WAHLKREIS,93,1949,m,2,Möring,0,0,Karsten,J,E,Köln I,5.0,,CDU/CSU
MdB / Hauswirtschaftsmeisterin,WAHLKREIS,246,1955,w,3,Mortler,0,0,Marlene,J,E,Roth,9.0,,CDU/CSU
MdB / Staatsrätin a. D.,LAND,4,1952,w,2,Motschmann,0,0,Elisabeth Charlotte,J,Z,0,4.0,,CDU/CSU
Jurist,LAND,5,1984,m,34,Movassat,0,0,Niema,J,Z,0,5.0,,Die Linke
MdL / Dipl.-Ing. für Schiffsführung,LAND,15,1958,m,35,Mrosek,0,0,Andreas,N,Z,0,15.0,,AfD
Dipl.-Informatiker,LAND,6,1969,m,4,Müller,0,0,Alexander,N,Z,0,6.0,,FDP
Richter,WAHLKREIS,294,1963,m,2,Müller,0,0,Axel,N,E,Ravensburg,8.0,,CDU/CSU
MdB,LAND,6,1959,w,1,Müller,0,0,Bettina,J,Z,0,6.0,,SPD
Rechtsanwalt / Bankkaufmann,LAND,3,1970,m,2,Müller,0,0,Carsten,J,Z,0,3.0,,CDU/CSU
Betriebswirtin,LAND,13,1981,w,5,Müller,0,0,Claudia,N,Z,0,13.0,,Grüne
Lokomotivführer,LAND,14,1964,m,1,Müller,0,0,Detlef,J,Z,0,14.0,,SPD
MdB / Bundesminister,WAHLKREIS,256,1955,m,3,Müller,0,Dr.,Gerhard (Gerd),J,E,Oberallgäu,9.0,,CDU/CSU
selbst. Interimmanager,LAND,9,1968,m,35,Müller,0,0,Hansjörg Gerhard Georg,N,Z,0,9.0,,AfD
MdB / Student,LAND,12,1986,m,34,Müller,0,0,Norbert,J,Z,0,12.0,,Die Linke
Dipl.-Bankbetriebswirt (FS),WAHLKREIS,70,1989,m,2,Müller,0,0,Sepp,N,E,Dessau – Wittenberg,15.0,,CDU/CSU
parl. Staatssekretär,WAHLKREIS,242,1975,m,3,Müller,0,0,Stefan,J,E,Erlangen,9.0,,CDU/CSU
Student,LAND,5,1992,m,4,Müller-Böhm,0,0,Roman,N,Z,0,5.0,,FDP
MdB,LAND,8,1960,w,5,Müller-Gemmeke,0,0,Beate,J,Z,0,8.0,,Grüne
