beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
MdB / Bankkauffrau,LAND,4,1972,w,2,Hornhues,Else Katharina Bettina,J,Z,0,4,Bremen,CDU/CSU
Mediengestalter,LAND,5,1963,m,34,Hunko,Andrej,J,Z,0,5,Nordrhein-Westfalen,DIE LINKE
MdB / Dipl.-Ingenieurin (FH),LAND,16,1968,w,34,Hupach,Sigrid,J,Z,0,16,Thüringen,DIE LINKE
MdB,LAND,5,1956,m,2,Hüppe,Hubert,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB,WAHLKREIS,214,1970,m,3,Irlstorfer,Erich,J,E,Freising,9,Bayern,CDU/CSU
Oberstudienrat,WAHLKREIS,172,1952,m,2,Irmer,Hans-Jürgen,N,E,Lahn-Dill,6,Hessen,CDU/CSU
MdB / Dipl.-Politologe,LAND,9,1976,m,5,Janecek,Dieter,J,Z,0,9,Bayern,GRÜNE
MdB,LAND,3,1978,w,1,Jantz-Herrmann,Christina,J,Z,0,3,Niedersachsen,SPD
MdB / IT-Berater,WAHLKREIS,106,1973,m,2,Jarzombek,Thomas,J,E,Düsseldorf I,5,Nordrhein-Westfalen,CDU/CSU
Journalistin,LAND,5,1951,w,34,Jelpke,Ursula (Ulla),J,Z,0,5,Nordrhein-Westfalen,DIE LINKE
MdB / Bankfachwirtin,LAND,5,1967,w,2,Jörrißen,Sylvia,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB,WAHLKREIS,287,1975,m,2,Jung,Andreas,J,E,Konstanz,8,Baden-Württemberg,CDU/CSU
Staatssekretär,WAHLKREIS,179,1978,m,2,Jung,Ingmar Ludwig,N,E,Wiesbaden,6,Hessen,CDU/CSU
MdB / Gymnasiallehrer,LAND,7,1962,m,2,Jung,Xaver,J,Z,0,7,Rheinland-Pfalz,CDU/CSU
Dipl.-Sportlehrer,LAND,13,1967,m,1,Junge,Frank Michael,J,Z,0,13,Mecklenburg-Vorpommern,SPD
MdB / Kfz.-Mechaniker,LAND,8,1959,m,1,Juratovic,Josip,J,Z,0,8,Baden-Württemberg,SPD
MdB / Funkmechaniker,LAND,14,1962,m,1,Jurk,Thomas Edmund,J,Z,0,14,Sachsen,SPD
Oberregierungsrat,WAHLKREIS,144,1970,m,1,Kaczmarek,Oliver,J,E,Unna I,5,Nordrhein-Westfalen,SPD
Angestellter,WAHLKREIS,18,1963,m,1,Kahrs,Johannes,J,E,Hamburg-Mitte,2,Hamburg,SPD
Pressesprecherin,LAND,16,1987,w,1,Kaiser,Elisabeth,N,Z,0,16,Thüringen,SPD
MdB / Baukaufmann,LAND,3,1948,m,2,Kammer,Hans-Werner,J,Z,0,3,Niedersachsen,CDU/CSU
Angestellter,LAND,14,1985,m,1,Kaniewski,Richard,N,Z,0,14,Sachsen,SPD
MdB / Dipl.-Kaufmann,LAND,5,1984,m,2,Kanitz,Steffen,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
Ärztin,LAND,4,1966,w,5,Kappert-Gonther,Kirsten,N,Z,0,4,Bremen,GRÜNE
Journalist,WAHLKREIS,139,1954,m,1,Kapschack,Ralf,J,E,Ennepe-Ruhr-Kreis II,5,Nordrhein-Westfalen,SPD
MdB / Politikwissenschaftlerin,LAND,14,1980,w,34,Karawanskij,Susanna,J,Z,0,14,Sachsen,DIE LINKE
MdB,WAHLKREIS,232,1950,m,3,Karl,Alois,J,E,Amberg,9,Bayern,CDU/CSU
MdB / Geschäftsführerin Hotellerie,WAHLKREIS,128,1971,w,2,Karliczek,Anja,J,E,Steinfurt III,5,Nordrhein-Westfalen,CDU/CSU
Rechtsanwalt,WAHLKREIS,207,1979,m,2,Kartes,Jens Torbjörn,N,E,Ludwigshafen/Frankenthal,7,Rheinland-Pfalz,CDU/CSU
Dipl.-Ökonomin,LAND,13,1958,w,34,Kassner,Karin Kerstin,J,Z,0,13,Mecklenburg-Vorpommern,DIE LINKE
MdB,LAND,8,1960,w,1,Katzmarek,Gabriele,J,Z,0,8,Baden-Württemberg,SPD
MdB / Jurist,WAHLKREIS,285,1949,m,2,Kauder,Volker,J,E,Rottweil – Tuttlingen,8,Baden-Württemberg,CDU/CSU
Dipl.-Ing. Erkundungsgeologie (FH),LAND,12,1961,w,34,Kaufhold,Birgit Doris,N,Z,0,12,Brandenburg,DIE LINKE
MdB / Rechtsanwalt,WAHLKREIS,258,1969,m,2,Kaufmann,Stefan,J,E,Stuttgart I,8,Baden-Württemberg,CDU/CSU
MdB / Dipl.-Volkswirt,LAND,9,1953,m,5,Kekeritz,Uwe,J,Z,0,9,Bayern,GRÜNE
MdB / Dipl.-Informatiker,WAHLKREIS,96,1968,m,1,Kelber,Ulrich,J,E,Bonn,5,Nordrhein-Westfalen,SPD
MdB,WAHLKREIS,291,1989,w,2,Kemmer,Ronja,J,E,Ulm,8,Baden-Württemberg,CDU/CSU
MdB,LAND,15,1960,w,1,Kermer,Marina,J,Z,0,15,Sachsen-Anhalt,SPD
Angestellter,LAND,6,1964,m,34,Kessler,Achim Dieter,N,Z,0,6,Hessen,DIE LINKE
MdB / Rechtsanwältin,LAND,3,1969,w,5,Keul,Katja,J,Z,0,3,Niedersachsen,GRÜNE
MdB,WAHLKREIS,270,1963,m,2,Kiesewetter,Roderich,J,E,Aalen – Heidenheim,8,Baden-Württemberg,CDU/CSU
Erster Bürgermeister,WAHLKREIS,224,1973,m,3,Kießling,Michael Hannes,N,E,Starnberg – Landsberg am Lech,9,Bayern,CDU/CSU
MdB / Betriebswirt,LAND,3,1985,m,5,Kindler,Sven-Christian,J,Z,0,3,Niedersachsen,GRÜNE
MdB / Rechtsanwalt,WAHLKREIS,91,1959,m,2,Kippels,Georg,J,E,Rhein-Erft-Kreis I,5,Nordrhein-Westfalen,CDU/CSU
MdB / Literaturwissenschaftlerin,LAND,14,1978,w,34,Kipping,Katja,J,Z,0,14,Sachsen,DIE LINKE
MdB / Dipl.-Volkswirtin,LAND,11,1975,w,1,Kiziltepe,Cansel,J,Z,0,11,Berlin,SPD
Lehrer,WAHLKREIS,118,1952,m,1,Klare,Arno,J,E,Mülheim – Essen I,5,Nordrhein-Westfalen,SPD
MdB / Dipl.-Volkswirt,WAHLKREIS,148,1960,m,2,Klein,Volkmar,J,E,Siegen-Wittgenstein,5,Nordrhein-Westfalen,CDU/CSU
Soziologin,LAND,5,1958,w,5,Klein-Schmeink,Maria,J,Z,0,5,Nordrhein-Westfalen,GRÜNE
MdB,LAND,3,1978,m,1,Klingbeil,Lars,J,Z,0,3,Niedersachsen,SPD
MdB,WAHLKREIS,33,1967,m,2,Knoerig,Axel,J,E,Diepholz – Nienburg I,3,Niedersachsen,CDU/CSU
Kulturwissenschaftlerin,LAND,5,1961,w,5,Koczy,Ute,N,Z,0,5,Nordrhein-Westfalen,GRÜNE
MdB,WAHLKREIS,57,1962,m,2,Koeppen,Jens,J,E,Uckermark – Barnim I,12,Brandenburg,CDU/CSU
MdB,LAND,9,1967,w,1,Kofler,Bärbel,J,Z,0,9,Bayern,SPD
MdB / Dipl.-Physikerin,LAND,14,1980,w,1,Kolbe,Daniela,J,Z,0,14,Sachsen,SPD
MdB,LAND,6,1967,w,1,Kömpel,Birgit,J,Z,0,6,Hessen,SPD
MdB,WAHLKREIS,176,1977,m,2,Koob,Markus Benjamin,J,E,Hochtaunus,6,Hessen,CDU/CSU
MdB / Betriebswirt,WAHLKREIS,165,1979,m,2,Körber,Carsten,J,E,Zwickau,14,Sachsen,CDU/CSU
Dipl.-Verwaltungswirtin,LAND,5,1985,w,1,Korkmaz,Elvan,N,Z,0,5,Nordrhein-Westfalen,SPD
Gewerkschaftssekretär,LAND,6,1969,m,1,Körner,Matthias,N,Z,0,6,Hessen,SPD
MdB / Politikwissenschaftler (M. A.),LAND,15,1977,m,34,Korte,Jan,J,Z,0,15,Sachsen-Anhalt,DIE LINKE
MdB,LAND,8,1952,w,5,Kotting-Uhl,Sylvia,J,Z,0,8,Baden-Württemberg,GRÜNE
MdB,LAND,8,1957,w,2,Kovac,Kordula,J,Z,0,8,Baden-Württemberg,CDU/CSU
MdB / parl. Staatssekretärin,LAND,9,1967,w,1,Kramme,Anette,J,Z,0,9,Bayern,SPD
MdL / Politikwissenschaftler,WAHLKREIS,164,1975,m,2,Krauß,Alexander Gerd,N,E,Erzgebirgskreis I,14,Sachsen,CDU/CSU
Gewerkschaftssekretärin,LAND,3,1956,w,34,Krellmann,Jutta,J,Z,0,3,Niedersachsen,DIE LINKE
MdB,WAHLKREIS,157,1975,m,2,Kretschmer,Michael,J,E,Görlitz,14,Sachsen,CDU/CSU
MdB,WAHLKREIS,279,1964,m,2,Krichbaum,Gunther,J,E,Pforzheim,8,Baden-Württemberg,CDU/CSU
MdB / Jurist,WAHLKREIS,109,1969,m,2,Krings,Günter,J,E,Mönchengladbach,5,Nordrhein-Westfalen,CDU/CSU
MdB,LAND,5,1969,m,5,Krischer,Oliver Michael,J,Z,0,5,Nordrhein-Westfalen,GRÜNE
Geschäftsführer,LAND,2,1961,m,2,Kruse,Rüdiger,J,Z,0,2,Hamburg,CDU/CSU
Rechtsanwalt,WAHLKREIS,219,1972,m,3,Kuffer,Michael,N,E,München-Süd,9,Bayern,CDU/CSU
Staatsminister a. D.,LAND,7,1962,m,1,Kühl,Carsten,N,Z,0,7,Rheinland-Pfalz,SPD
MdB,LAND,8,1979,m,5,Kühn,Christian,J,Z,0,8,Baden-Württemberg,GRÜNE
MdB / Dipl.-Soziologe,LAND,14,1979,m,5,Kühn,Stephan,J,Z,0,14,Sachsen,GRÜNE
MdB,LAND,3,1967,m,2,Kühne,Roy,J,Z,0,3,Niedersachsen,CDU/CSU
Rechtsanwältin,LAND,11,1955,w,5,Künast,Renate,J,Z,0,11,Berlin,GRÜNE
Dipl.-Politikwissenschaftler,LAND,5,1966,m,5,Kurth,Markus,J,Z,0,5,Nordrhein-Westfalen,GRÜNE
MdB / Werkzeugmacher,WAHLKREIS,51,1954,m,2,Lach,Günter,J,E,Helmstedt – Wolfsburg,3,Niedersachsen,CDU/CSU
MdB / Techniker,LAND,3,1962,m,2,Lagosky,Uwe,J,Z,0,3,Niedersachsen,CDU/CSU
Rechtsanwältin,LAND,6,1965,w,1,Lambrecht,Christine,J,Z,0,6,Hessen,SPD
MdB / Rechtsanwalt,WAHLKREIS,274,1951,m,2,Lamers,Karl,J,E,Heidelberg,8,Baden-Württemberg,CDU/CSU
MdB,WAHLKREIS,159,1959,m,2,Lämmel,Gottfried Andreas,J,E,Dresden I,14,Sachsen,CDU/CSU
MdB,WAHLKREIS,154,1954,w,2,Landgraf,Katharina,J,E,Leipzig-Land,14,Sachsen,CDU/CSU
MdB / parl. Staatssekretär,LAND,8,1964,m,1,Lange,Christian,J,Z,0,8,Baden-Württemberg,SPD
MdB,WAHLKREIS,254,1969,m,3,Lange,Ulrich,J,E,Donau-Ries,9,Bayern,CDU/CSU
MdB,WAHLKREIS,237,1976,w,3,Launert,Silke,J,E,Bayreuth,9,Bayern,CDU/CSU
MdB,WAHLKREIS,101,1963,m,1,Lauterbach,Karl,J,E,Leverkusen – Köln IV,5,Nordrhein-Westfalen,SPD
Soziologin,LAND,14,1972,w,34,Lay,Caren Nicole,J,Z,0,14,Sachsen,DIE LINKE
MdB,LAND,14,1967,w,5,Lazar,Monika,J,Z,0,14,Sachsen,GRÜNE
Erzieher,WAHLKREIS,152,1967,m,2,Lehmann,Jens,N,E,Leipzig I,14,Sachsen,CDU/CSU
Politikwissenschaftler / Personalentwickler ö. D.,LAND,5,1979,m,5,Lehmann,Sven,N,Z,0,5,Nordrhein-Westfalen,GRÜNE
MdB / Rechtsanwalt,WAHLKREIS,251,1959,m,3,Lehrieder,Paul,J,E,Würzburg,9,Bayern,CDU/CSU
MdB,LAND,6,1961,w,34,Leidig,Sabine,J,Z,0,6,Hessen,DIE LINKE
MdB,WAHLKREIS,180,1975,w,2,Leikert,Katja,J,E,Hanau,6,Hessen,CDU/CSU
MdB,LAND,15,1968,w,5,Lemke,Steffi,J,Z,0,15,Sachsen-Anhalt,GRÜNE
MdB / Werkzeugmacher / Maschinenbautechniker,LAND,16,1967,m,34,Lenkert,Ralph,J,Z,0,16,Thüringen,DIE LINKE
MdB,WAHLKREIS,213,1981,m,3,Lenz,Andreas,J,E,Erding – Ebersberg,9,Bayern,CDU/CSU
MdB / Wirtschaftsprüfer,LAND,9,1952,m,3,Lerchenfeld,Philipp-Nerius Joh. Peter Maria Josef Hugo Emmeran,J,Z,0,9,Bayern,CDU/CSU
Dipl.-Soziologe,LAND,14,1974,m,34,Leutert,Michael Gerhard,J,Z,0,14,Sachsen,DIE LINKE
MdB / Bundesministerin / Ärztin,LAND,3,1958,w,2,Leyen,Ursula,J,Z,0,3,Niedersachsen,CDU/CSU
MdB,WAHLKREIS,201,1960,w,2,Lezius,Antje,J,E,Kreuznach,7,Rheinland-Pfalz,CDU/CSU
MdB / Dipl.-Betriebswirt,WAHLKREIS,76,1972,m,34,Liebich,Stefan,J,E,Berlin-Pankow,11,Berlin,DIE LINKE
wiss. Mitarbeiter,WAHLKREIS,102,1976,m,1,Lindh,Helge,N,E,Wuppertal I,5,Nordrhein-Westfalen,SPD
MdB / Rechtsanwältin,WAHLKREIS,247,1970,w,3,Lindholz,Andrea,J,E,Aschaffenburg,9,Bayern,CDU/CSU
MdB,LAND,7,1982,m,5,Lindner,Tobias,J,Z,0,7,Rheinland-Pfalz,GRÜNE
MdB / Dipl.-Volkswirt,WAHLKREIS,137,1977,m,2,Linnemann,Carsten,J,E,Paderborn – Gütersloh III,5,Nordrhein-Westfalen,CDU/CSU
Handelsfachwirtin,WAHLKREIS,187,1963,w,2,Lips,Patricia,J,E,Odenwald,6,Hessen,CDU/CSU
MdB / Jurist,LAND,15,1965,m,1,Lischka,Burkhard Karl Erich,J,Z,0,15,Sachsen-Anhalt,SPD
Geschäftsführer,WAHLKREIS,275,1986,m,2,Löbel,Nikolas,N,E,Mannheim,8,Baden-Württemberg,CDU/CSU
mittelständ. Unternehmer,WAHLKREIS,217,1955,m,3,Loos,Bernhard,N,E,München-Nord,9,Bayern,CDU/CSU
Student,LAND,14,1988,m,34,Loos,Tilman,N,Z,0,14,Sachsen,DIE LINKE
MdB,LAND,3,1958,w,1,Lotze,Hiltrud,J,Z,0,3,Niedersachsen,SPD
MdB / Philologin,WAHLKREIS,86,1961,w,34,Lötzsch,Gesine,J,E,Berlin-Lichtenberg,11,Berlin,DIE LINKE
MdB / Dipl.-Theologin,LAND,5,1962,w,2,Lücking-Michel,Claudia Maria,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
Rechtsanwalt,WAHLKREIS,81,1975,m,2,Luczak,Jan-Marco,J,E,Berlin-Tempelhof-Schöneberg,11,Berlin,CDU/CSU
MdAB / Dipl.-Volkswirt,LAND,11,1982,m,2,Ludewig,Gottfried,N,Z,0,11,Berlin,CDU/CSU
MdB,WAHLKREIS,222,1975,w,3,Ludwig,Daniela,J,E,Rosenheim,9,Bayern,CDU/CSU
MdB / Polizistin,LAND,3,1964,w,1,Lühmann,Kirsten,J,Z,0,3,Niedersachsen,SPD
MdB / Maschinenbauer,LAND,10,1969,m,34,Lutze,Thomas,J,Z,0,10,Saarland,DIE LINKE
MdB,WAHLKREIS,259,1962,w,2,Maag,Karin,J,E,Stuttgart II,8,Baden-Württemberg,CDU/CSU
Jurist,LAND,10,1966,m,1,Maas,Heiko Josef,N,Z,0,10,Saarland,SPD
MdB,WAHLKREIS,166,1979,w,2,Magwas,Yvonne,J,E,Vogtlandkreis,14,Sachsen,CDU/CSU
MdB / kfm. Angestellter,LAND,5,1965,m,2,Mahlberg,Thomas,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB / Bundesminister,WAHLKREIS,155,1954,m,2,Maizière,Thomas,J,E,Meißen,14,Sachsen,CDU/CSU
MdB,LAND,5,1958,w,2,Manderla,Gisela,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
Bürgermeisterin,LAND,6,1967,w,2,Mannes,Astrid,N,Z,0,6,Hessen,CDU/CSU
MdB / Dipl.-Geografin,LAND,3,1963,w,1,Marks,Caren,J,Z,0,3,Niedersachsen,SPD
Student,LAND,8,1989,m,2,Martin,Dominik,N,Z,0,8,Baden-Württemberg,CDU/CSU
Abteilungsleiter Produktmanagement,LAND,8,1982,m,1,Marvi,Parsa,N,Z,0,8,Baden-Württemberg,SPD
MdB / Landwirt,WAHLKREIS,59,1961,m,2,Marwitz,Hans-Georg,J,E,Märkisch-Oderland – Barnim II,12,Brandenburg,CDU/CSU
MdEP / Dipl.-Volkswirt,LAND,2,1980,m,34,Masi,Fabio Valeriano Lanfranco,N,Z,0,2,Hamburg,DIE LINKE
MdB,LAND,8,1971,w,1,Mast,Katja,J,Z,0,8,Baden-Württemberg,SPD
Theologe,LAND,16,1961,m,1,Matschie,Christoph,N,Z,0,16,Thüringen,SPD
MdB / Industriekaufmann,WAHLKREIS,34,1969,m,2,Mattfeldt,Andreas,J,E,Osterholz – Verden,3,Niedersachsen,CDU/CSU
MdB,LAND,8,1954,w,1,Mattheis,Hildegard,J,Z,0,8,Baden-Württemberg,SPD
MdB / Rechtsanwalt,WAHLKREIS,212,1973,m,3,Mayer,Stephan,J,E,Altötting,9,Bayern,CDU/CSU
MdB,LAND,9,1953,m,3,Meier,Reiner,J,Z,0,9,Bayern,CDU/CSU
Angestellte / Büroleiterin,LAND,5,1963,w,1,Meiers,Ute,N,Z,0,5,Nordrhein-Westfalen,SPD
Dipl.-Politikwissenschaftler,LAND,11,1975,m,34,Meiser,Pascal,N,Z,0,11,Berlin,DIE LINKE
Dipl.-Mathematiker,WAHLKREIS,188,1961,m,2,Meister,Michael Günther,J,E,Bergstraße,6,Hessen,CDU/CSU
MdB,WAHLKREIS,15,1954,w,2,Merkel,Angela Dorothea,J,E,Vorpommern-Rügen – Vorpommern-Greifswald I,13,Mecklenburg-Vorpommern,CDU/CSU
Winzer / Dipl.-Betriebswirt (FH),WAHLKREIS,206,1981,m,2,Metzler,Jan,J,E,Worms,7,Rheinland-Pfalz,CDU/CSU
MdB,WAHLKREIS,238,1949,m,3,Michelbach,Hans Georg,J,E,Coburg,9,Bayern,CDU/CSU
MdB / Rechtsanwalt,WAHLKREIS,39,1964,m,2,Middelberg,Mathias,J,E,Stadt Osnabrück,3,Niedersachsen,CDU/CSU
MdB / Rechtsanwalt,WAHLKREIS,47,1968,m,1,Miersch,Matthias,J,E,Hannover-Land II,3,Niedersachsen,SPD
Polizeibeamtin a. D.,LAND,5,1976,w,5,Mihalic,Irene,J,Z,0,5,Nordrhein-Westfalen,GRÜNE
MdB / Dipl.-Biologe,LAND,11,1964,m,1,Mindrup,Klaus,J,Z,0,11,Berlin,SPD
Polizeibeamtin,LAND,3,1958,w,1,Mittag,Susanne,J,Z,0,3,Niedersachsen,SPD
Dipl.-Sozialökonomin,LAND,1,1960,w,34,Möhring,Cornelia,J,Z,0,1,Schleswig-Holstein,DIE LINKE
Dipl.-Kaufmann (FH) / Speditionskaufmann,LAND,3,1984,m,1,Mohrs,Falko,N,Z,0,3,Niedersachsen,SPD
Lehrerin (StRin),WAHLKREIS,26,1983,w,1,Möller,Siemtje,N,E,Friesland – Wilhelmshaven – Wittmund,3,Niedersachsen,SPD
MdB / Rechtsanwalt,WAHLKREIS,12,1957,m,2,Monstadt,Dietrich,J,E,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,13,Mecklenburg-Vorpommern,CDU/CSU
MdB,LAND,5,1949,m,2,Möring,Karsten,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB / Hauswirtschaftsmeisterin,WAHLKREIS,246,1955,w,3,Mortler,Marlene,J,E,Roth,9,Bayern,CDU/CSU
MdB / selbst. Versicherungskaufmann,LAND,5,1955,m,2,Mosblech,Volker,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB / Staatsrätin a. D.,LAND,4,1952,w,2,Motschmann,Elisabeth Charlotte,J,Z,0,4,Bremen,CDU/CSU
Jurist,LAND,5,1984,m,34,Movassat,Niema,J,Z,0,5,Nordrhein-Westfalen,DIE LINKE
Richter,WAHLKREIS,294,1963,m,2,Müller,Axel,N,E,Ravensburg,8,Baden-Württemberg,CDU/CSU
MdB,LAND,6,1959,w,1,Müller,Bettina,J,Z,0,6,Hessen,SPD
Rechtsanwalt / Bankkaufmann,LAND,3,1970,m,2,Müller,Carsten,J,Z,0,3,Niedersachsen,CDU/CSU
Betriebswirtin,LAND,13,1981,w,5,Müller,Claudia,N,Z,0,13,Mecklenburg-Vorpommern,GRÜNE
Lokomotivführer,LAND,14,1964,m,1,Müller,Detlef,J,Z,0,14,Sachsen,SPD
MdB / Bundesminister,WAHLKREIS,256,1955,m,3,Müller,Gerhard (Gerd),J,E,Oberallgäu,9,Bayern,CDU/CSU
MdB / Student,LAND,12,1986,m,34,Müller,Norbert,J,Z,0,12,Brandenburg,DIE LINKE
Dipl.-Bankbetriebswirt (FS),WAHLKREIS,70,1989,m,2,Müller,Sepp,N,E,Dessau – Wittenberg,15,Sachsen-Anhalt,CDU/CSU
parl. Staatssekretär,WAHLKREIS,242,1975,m,3,Müller,Stefan,J,E,Erlangen,9,Bayern,CDU/CSU
MdB,LAND,8,1960,w,5,Müller-Gemmeke,Beate,J,Z,0,8,Baden-Württemberg,GRÜNE
Journalistin,WAHLKREIS,141,1980,w,1,Müntefering,Michelle,J,E,Herne – Bochum II,5,Nordrhein-Westfalen,SPD
Politikwissenschaftler,WAHLKREIS,95,1959,m,1,Mützenich,Rolf,J,E,Köln III,5,Nordrhein-Westfalen,SPD
MdB / Literaturwissenschaftlerin (M. A.),LAND,7,1970,w,1,Nahles,Andrea,J,Z,0,7,Rheinland-Pfalz,SPD
Dipl.-Kaufmann,LAND,8,1981,m,2,Natterer,Christian,N,Z,0,8,Baden-Württemberg,CDU/CSU
Dipl.-Wirtschaftsingenieurin,LAND,1,1977,w,5,Nestle,Ingrid,N,Z,0,1,Schleswig-Holstein,GRÜNE
Politikwissenschaftler,LAND,5,1969,m,34,Neu,Alexander,J,Z,0,5,Nordrhein-Westfalen,DIE LINKE
MdB / Dipl.-Kaufmann / M.I.P.P.,WAHLKREIS,204,1967,m,2,Nick,Andreas,J,E,Montabaur,7,Rheinland-Pfalz,CDU/CSU
Industriekauffrau,WAHLKREIS,1,1965,w,2,Nicolaisen,Petra,N,E,Flensburg – Schleswig,1,Schleswig-Holstein,CDU/CSU
MdB,LAND,5,1964,m,1,Nietan,Dietmar,J,Z,0,5,Nordrhein-Westfalen,SPD
MdB,LAND,6,1959,w,1,Nissen,Ulrike,J,Z,0,6,Hessen,SPD
MdB / Rechtsanwältin,WAHLKREIS,104,1959,w,2,Noll,Michaela,J,E,Mettmann I,5,Nordrhein-Westfalen,CDU/CSU
MdB / Kulturwissenschaftler,LAND,12,1957,m,34,Nord,Thomas Hans,J,Z,0,12,Brandenburg,DIE LINKE
MdB / Jurist,LAND,1,1971,m,5,Notz,Konstantin,J,Z,0,1,Schleswig-Holstein,GRÜNE
selbständig,LAND,6,1975,m,5,Nouripour,Omid,J,Z,0,6,Hessen,GRÜNE
MdB / Kaufmann,LAND,5,1941,m,2,Nowak,Helmut,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB / Dipl.-Kaufmann,WAHLKREIS,255,1969,m,3,Nüßlein,Georg,J,E,Neu-Ulm,9,Bayern,CDU/CSU
MdB,LAND,9,1984,w,3,Obermeier,Julia Stephanie,J,Z,0,9,Bayern,CDU/CSU
Rechtsanwalt,WAHLKREIS,89,1975,m,2,Oellers,Wilfried,J,E,Heinsberg,5,Nordrhein-Westfalen,CDU/CSU
Jurist,LAND,3,1986,m,2,Oppelt,Maximilian,N,Z,0,3,Niedersachsen,CDU/CSU
MdB / Jurist,WAHLKREIS,53,1954,m,1,Oppermann,Thomas,J,E,Göttingen,3,Niedersachsen,SPD
Fachwirtin im Gastgewerbe,LAND,10,1986,w,1,Ortleb,Josephine Loulou,N,Z,0,10,Saarland,SPD
Dipl.-Volkswirt (Univ.),WAHLKREIS,228,1980,m,3,Oßner,Florian,J,E,Landshut,9,Bayern,CDU/CSU
Bauer,LAND,5,1953,m,5,Ostendorff,Friedrich,J,Z,0,5,Nordrhein-Westfalen,GRÜNE
Bürgermeister,WAHLKREIS,199,1971,m,2,Oster,Josef,N,E,Koblenz,7,Rheinland-Pfalz,CDU/CSU
MdB / Rechtsanwalt,LAND,5,1979,m,2,Ostermann,Tim,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB,WAHLKREIS,44,1968,m,2,Otte,Henning,J,E,Celle – Uelzen,3,Niedersachsen,CDU/CSU
MdB,LAND,8,1965,m,5,Özdemir,Cem,J,Z,0,8,Baden-Württemberg,GRÜNE
MdB,WAHLKREIS,116,1987,m,1,Özdemir,Mahmut,J,E,Duisburg II,5,Nordrhein-Westfalen,SPD
MdB / Staatsministerin,WAHLKREIS,22,1967,w,1,Özoğuz,Aydan Saliha,J,E,Hamburg-Wandsbek,2,Hamburg,SPD
MdB / Hauswirtschaftsleiterin,LAND,3,1957,w,2,Pahlmann,Ingrid,J,Z,0,3,Niedersachsen,CDU/CSU
MdB,WAHLKREIS,107,1961,w,2,Pantel,Sylvia,J,E,Düsseldorf II,5,Nordrhein-Westfalen,CDU/CSU
MdB / Gewerkschaftssekretär,LAND,3,1963,m,1,Paschke,Markus Alfred Josef,J,Z,0,3,Niedersachsen,SPD
MdB,WAHLKREIS,63,1947,m,2,Patzelt,Martin Maria Otto Felix,J,E,Frankfurt (Oder) – Oder-Spree,12,Brandenburg,CDU/CSU
MdB / Dipl.-Kaufmann,LAND,11,1984,m,2,Pätzold,Martin,J,Z,0,11,Berlin,CDU/CSU
MdB,WAHLKREIS,85,1963,w,34,Pau,Petra,J,E,Berlin-Marzahn-Hellersdorf,11,Berlin,DIE LINKE
MdB / Dipl.-Volkswirtin,LAND,11,1968,w,5,Paus,Elisabeth (Lisa),J,Z,0,11,Berlin,GRÜNE
Studentin,LAND,6,1992,w,1,Pawlik,Natalie,N,Z,0,6,Hessen,SPD
Geschäftsführer / Politikwissenschaftler,LAND,3,1982,m,34,Perli,Victor Angelo,N,Z,0,3,Niedersachsen,DIE LINKE
Dipl.-Verwaltungswirt,LAND,10,1965,m,1,Petry,Christian,J,Z,0,10,Saarland,SPD
MdB / Dipl.-Kaufmann,WAHLKREIS,264,1967,m,2,Pfeiffer,Joachim,J,E,Waiblingen,8,Baden-Württemberg,CDU/CSU
wiss. Angestellter,LAND,8,1965,m,34,Pflüger,Tobias,N,Z,0,8,Baden-Württemberg,DIE LINKE
MdB / Lehrer,LAND,7,1955,m,1,Pilger,Detlev,J,Z,0,7,Rheinland-Pfalz,SPD
Arzt,WAHLKREIS,220,1987,m,3,Pilsinger,Stephan,N,E,München-West/Mitte,9,Bayern,CDU/CSU
Pressereferent,WAHLKREIS,21,1985,m,2,Ploß,Christoph Johannes,N,E,Hamburg-Nord,2,Hamburg,CDU/CSU
MdL / Dipl.-Volkswirtin,LAND,3,1978,w,5,Polat,Filiz,N,Z,0,3,Niedersachsen,GRÜNE
MdB / Glasermeister,WAHLKREIS,37,1962,m,2,Pols,Eckhard,J,E,Lüchow-Dannenberg – Lüneburg,3,Niedersachsen,CDU/CSU
Betriebswirtin (VWA),WAHLKREIS,143,1968,w,1,Poschmann,Sabine,J,E,Dortmund II,5,Nordrhein-Westfalen,SPD
Dipl.-Soziologe,LAND,5,1959,m,1,Post,Achim,J,Z,0,5,Nordrhein-Westfalen,SPD
