beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
MdB / Landwirtschaftsmeister,WAHLKREIS,200,1952,m,2,Bleser,Peter,J,E,Mosel/Rhein-Hunsrück,7,Rheinland-Pfalz,CDU/CSU
MdB / Angestellter,LAND,5,1966,m,1,Blienert,Burkhard,J,Z,0,5,Nordrhein-Westfalen,SPD
MdB,LAND,13,1958,w,34,Bluhm,Heidrun,J,Z,0,13,Mecklenburg-Vorpommern,DIE LINKE
Jurist,WAHLKREIS,10,1954,m,2,Brackmann,Norbert,J,E,Herzogtum Lauenburg – Stormarn-Süd,1,Schleswig-Holstein,CDU/CSU
Elektrohandwerksmeister,WAHLKREIS,158,1957,m,2,Brähmig,Klaus,J,E,Sächsische Schweiz-Osterzgebirge,14,Sachsen,CDU/CSU
MdB,WAHLKREIS,174,1973,m,2,Brand,Michael,J,E,Fulda,6,Hessen,CDU/CSU
MdB / Dipl.-Wirtschaftsingenieur,WAHLKREIS,216,1977,m,3,Brandl,Reinhard,J,E,Ingolstadt,9,Bayern,CDU/CSU
MdB / Rechtsanwalt,WAHLKREIS,88,1950,m,2,Brandt,Helmut,J,E,Aachen II,5,Nordrhein-Westfalen,CDU/CSU
MdB,LAND,8,1979,w,5,Brantner,Franziska,J,Z,0,8,Baden-Württemberg,GRÜNE
parl. Staatssekretär,LAND,5,1967,m,2,Brauksiepe,Ralf,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
Arzt,WAHLKREIS,173,1972,m,2,Braun,Helge Reinhold,J,E,Gießen,6,Hessen,CDU/CSU
Geschäftsführerin / Rechtsanwältin,WAHLKREIS,32,1973,w,2,Breher,Silvia,N,E,Cloppenburg – Vechta,3,Niedersachsen,CDU/CSU
Steuerberater / Dipl.-Kaufmann,WAHLKREIS,244,1971,m,3,Brehm,Sebastian,N,E,Nürnberg-Nord,9,Bayern,CDU/CSU
MdB / Dipl.-Betriebswirtin (FH),WAHLKREIS,68,1962,w,2,Brehmer,Heike,J,E,Harz,15,Sachsen-Anhalt,CDU/CSU
Einzelhandelskauffrau,LAND,8,1960,w,1,Breymaier,Leni,N,Z,0,8,Baden-Württemberg,SPD
MdB / Steuerberater,WAHLKREIS,131,1968,m,2,Brinkhaus,Ralph,J,E,Gütersloh I,5,Nordrhein-Westfalen,CDU/CSU
ltd. Angestellter / Dipl.-Volkswirt,WAHLKREIS,99,1967,m,2,Brodesser,Carsten,N,E,Oberbergischer Kreis,5,Nordrhein-Westfalen,CDU/CSU
ltd. Angestellter / Dipl.-Volkswirt,WAHLKREIS,99,1967,m,2,Brodesser,Carsten,N,E,Bundesgebiet,0,,CDU/CSU
MdB,LAND,8,1985,w,5,Brugger,Agnes,J,Z,0,8,Baden-Württemberg,GRÜNE
MdB,LAND,9,1953,m,1,Brunner,Karl Heinz,J,Z,0,9,Bayern,SPD
Erziehungswissenschaftlerin,LAND,6,1971,w,34,Buchholz,Christine,J,Z,0,6,Hessen,DIE LINKE
MdL / Dipl.-Ing. für Arbeitsgestaltung,LAND,15,1965,w,1,Budde,Katrin,N,Z,0,15,Sachsen-Anhalt,SPD
Erziehungswissenschaftlerin / Soziologin,LAND,15,1963,w,34,Bull-Bischoff,Birke,N,Z,0,15,Sachsen-Anhalt,DIE LINKE
freier Journalist / Publizist,WAHLKREIS,142,1971,m,1,Bülow,Marco,J,E,Dortmund I,5,Nordrhein-Westfalen,SPD
MdB / Gewerkschaftssekretär,LAND,9,1964,m,1,Burkert,Martin,J,Z,0,9,Bayern,SPD
Abteilungsleiterin,WAHLKREIS,114,1966,w,1,Buttkereit,Elke,N,E,Krefeld II – Wesel II,5,Nordrhein-Westfalen,SPD
MdB / Hochschulprofessor,LAND,8,1974,m,1,Castellucci,Lars,J,Z,0,8,Baden-Württemberg,SPD
MdB / Rechtsanwältin,WAHLKREIS,25,1964,w,2,Connemann,Gitta,J,E,Unterems,3,Niedersachsen,CDU/CSU
Journalistin,LAND,5,1975,w,34,Dağdelen,Sevim,J,Z,0,5,Nordrhein-Westfalen,DIE LINKE
MdB,LAND,5,1956,m,1,Daldrup,Bernhard,J,Z,0,5,Nordrhein-Westfalen,SPD
geschäftsf. Gesellschafterin Coaching und Beratung,WAHLKREIS,2,1958,w,2,Damerow,Astrid,N,E,Nordfriesland – Dithmarschen Nord,1,Schleswig-Holstein,CDU/CSU
Liederautor / Medienunternehmer,LAND,3,1950,m,34,Dehm-Desoi,Jörg-Diether Wilhelm,J,Z,0,3,Niedersachsen,DIE LINKE
MdB / Dipl.-Verwaltungswissenschaftlerin,LAND,9,1971,w,5,Deligöz,Ekin,J,Z,0,9,Bayern,GRÜNE
MdB / Dipl.-Chemiker,LAND,15,1961,m,1,Diaby,Karamba,J,Z,0,15,Sachsen-Anhalt,SPD
MdB,LAND,9,1964,w,1,Dittmar,Sabine,J,Z,0,9,Bayern,SPD
MdB,WAHLKREIS,226,1970,m,3,Dobrindt,Alexander,J,E,Weilheim,9,Bayern,CDU/CSU
Publizistin,LAND,12,1968,w,34,Domscheit-Berg,Anke,N,Z,0,12,Brandenburg,DIE LINKE
MdB,WAHLKREIS,289,1967,m,2,Donth,Michael,J,E,Reutlingen,8,Baden-Württemberg,CDU/CSU
Rechtsanwalt,WAHLKREIS,93,1962,m,1,Dörmann,Martin,J,E,Köln I,5,Nordrhein-Westfalen,SPD
MdB,LAND,5,1976,w,5,Dörner,Katja,J,Z,0,5,Nordrhein-Westfalen,GRÜNE
Kauffrau im Einzelhandel,LAND,5,1953,w,2,Dött,Marie-Luise,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB,LAND,8,1951,w,1,Drobinski-Weiß,Elvira,J,Z,0,8,Baden-Württemberg,SPD
Dipl.-Volkswirtin,LAND,5,1984,w,5,Dröge,Katharina,J,Z,0,5,Nordrhein-Westfalen,GRÜNE
MdB,WAHLKREIS,253,1971,m,3,Durz,Hansjörg,J,E,Augsburg-Land,9,Bayern,CDU/CSU
MdB / Gymnasiallehrerin,LAND,9,1958,w,3,Eberl,Iris Maria,J,Z,0,9,Bayern,CDU/CSU
MdB / Dipl.-Agraringenieur,LAND,8,1964,m,5,Ebner,Harald,J,Z,0,8,Baden-Württemberg,GRÜNE
MdB / Bürokauffrau,LAND,5,1952,w,2,Eckenbach,Jutta,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB / Erzieherin,LAND,5,1960,w,1,Engelmeier,Michaela,J,Z,0,5,Nordrhein-Westfalen,SPD
Bäckermeister,WAHLKREIS,156,1964,m,2,Ermer,Roland,N,E,Bautzen I,14,Sachsen,CDU/CSU
Dipl.-Ing. Elektrotechnik (FH),WAHLKREIS,227,1974,m,3,Erndl,Thomas,N,E,Deggendorf,9,Bayern,CDU/CSU
MdB / Gewerkschaftssekretär,LAND,9,1954,m,34,Ernst,Klaus Friedrich,J,Z,0,9,Bayern,DIE LINKE
wiss. Mitarbeiterin,WAHLKREIS,132,1984,w,1,Esdar,Wiebke,N,E,Bielefeld – Gütersloh II,5,Nordrhein-Westfalen,SPD
MdB / Informatikerin,LAND,8,1961,w,1,Esken,Saskia,J,Z,0,8,Baden-Württemberg,SPD
MdB / Rechtsanwalt,LAND,9,1965,m,3,Fabritius,Bernd-Bernhard,J,Z,0,9,Bayern,CDU/CSU
