Bundesland,CDU/CSU,SPD,Grüne,Die Linke,FDP,AfD,Other
Magdeburg,37.5,20.9,5.6,24.0,2.4,4.2,5.4
Dessau – Wittenberg,42.5,17.1,4.0,22.8,2.4,5.1,6.1
Anhalt,41.5,16.8,2.6,25.6,2.6,4.8,6.1
Halle,37.7,17.9,7.2,24.4,3.1,4.2,5.5
Burgenland – Saalekreis,42.8,16.3,3.1,23.7,2.8,4.3,7.0
Mansfeld,41.2,17.1,2.8,25.7,2.9,4.1,6.2
Sachsen-Anhalt,41.2,18.2,4.0,23.9,2.6,4.2,5.9
Berlin-Mitte,22.6,26.1,16.7,18.7,3.7,3.9,8.3
Berlin-Pankow,23.5,22.0,14.1,25.2,2.5,4.8,7.9
Berlin-Reinickendorf,40.1,26.4,8.7,7.9,4.4,6.0,6.5
Berlin-Spandau – Charlottenburg Nord,36.6,28.9,8.2,9.5,3.8,5.8,7.2
Berlin-Steglitz-Zehlendorf,37.2,25.6,13.5,7.2,6.4,5.3,4.8
Berlin-Charlottenburg-Wilmersdorf,32.5,27.1,15.4,8.9,6.8,4.8,4.5
Berlin-Tempelhof-Schöneberg,31.7,27.4,15.4,10.3,4.1,4.6,6.5
Berlin-Neukölln,29.0,26.2,13.9,14.3,3.0,4.2,9.4
Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,15.4,24.0,20.8,25.1,2.2,2.8,9.7
Berlin-Treptow-Köpenick,25.4,21.3,7.4,29.5,2.0,5.5,8.9
Berlin-Marzahn-Hellersdorf,26.0,19.2,3.9,32.9,1.7,6.4,9.9
Berlin-Lichtenberg,23.1,20.4,5.8,34.6,1.6,5.5,9.0
Berlin,28.5,24.6,12.3,18.5,3.6,4.9,7.6
Aachen I,36.6,27.3,13.1,7.7,6.3,3.1,5.9
Aachen II,40.9,32.6,6.3,6.5,4.9,3.3,5.5
Heinsberg,49.3,26.3,5.5,5.2,4.9,3.5,5.3
Düren,44.3,29.7,6.1,5.7,5.0,4.0,5.2
Rhein-Erft-Kreis I,42.3,30.8,6.9,5.2,5.7,3.7,5.4
Euskirchen – Rhein-Erft-Kreis II,45.1,26.8,7.1,5.2,6.6,4.1,5.1
Köln I,33.3,31.0,12.2,8.1,5.5,4.1,5.8
Köln II,35.5,26.3,15.6,6.9,8.1,3.3,4.3
Köln III,30.6,31.5,14.9,9.2,4.5,3.2,6.1
Bonn,36.3,25.9,13.7,6.3,8.3,4.3,5.2
Rhein-Sieg-Kreis I,43.4,27.0,8.2,5.6,6.3,4.4,5.1
Rhein-Sieg-Kreis II,45.3,24.3,8.7,4.6,8.3,4.5,4.3
Oberbergischer Kreis,45.3,27.0,6.9,5.4,5.7,5.0,4.7
